Bil,Aset ID,"Kategori Aset 
(Pilih Kategori Yg Disenaraikan Shj)",Jenis Aset,Lokasi,Kuantiti,Vendor
83,ATM-543211,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu - Simulator Room,1,EIZO
84,ATM-543212,Hardware,WAVEGUIDE,BRO-KK/ATCC K. Kinabalu - Rooftop,1,NERA
85,ATM-543213,Hardware,WAVEGUIDE,BRO-KK/RADAR K. Kinabalu - RADAR Tower,1,NERA
86,ATM-543214,Hardware,WAVEGUIDE,BRO-KK/RADAR K. Kinabalu - RADAR Tower,1,NERA
87,ATM-543215,Hardware,WAVEGUIDE,BRO-KK/ATCC K. Kinabalu (ATCC Tower),1,NERA
88,ATM-543216,Hardware,COUPLER,BRO-KK/ATCC K. Kinabalu - Rooftop,1,NERA
89,ATM-543217,Hardware,COUPLER,BRO-KK/RADAR K. Kinabalu - RADAR Tower,1,NERA
90,ATM-543218,Hardware,COUPLER,BRO-KK/RADAR K. Kinabalu - RADAR Tower,1,NERA
91,ATM-543219,Hardware,COUPLER,BRO-KK/ATCC K. Kinabalu (ATCC Tower),1,NERA
92,ATM-543220,Hardware,AMP BREAKER,BRO-KK/RADAR K. Kinabalu - RADAR Building,1,NERA
93,ATM-543221,Hardware,AMP BREAKER,BRO-KK/ATCC K. Kinabalu (ATCC Tower),1,NERA
94,ATM-543222,Hardware,FLEXIBLE CORRUGATED CABLE ,BRO-KK/ATCC K. Kinabalu - Rooftop,1,NERA
